date,price
2017-08-01 23:59:59,227.74400329589844
2017-08-02 23:59:59,229.51199340820312
2017-08-03 23:59:59,228.29200744628906
2017-08-04 23:59:59,227.62100219726562
2017-08-05 23:59:59,256.5069885253906
2017-08-06 23:59:59,271.04901123046875
2017-08-07 23:59:59,271.9630126953125
2017-08-08 23:59:59,298.9070129394531
2017-08-09 23:59:59,318.71600341796875
2017-08-10 23:59:59,306.5929870605469
2017-08-11 23:59:59,309.2090148925781
2017-08-12 23:59:59,317.55999755859375
2017-08-13 23:59:59,310.8160095214844
2017-08-14 23:59:59,306.8070068359375
2017-08-15 23:59:59,300.40899658203125
2017-08-16 23:59:59,303.4129943847656
2017-08-17 23:59:59,311.02801513671875
2017-08-18 23:59:59,307.9599914550781
2017-08-19 23:59:59,301.6669921875
2017-08-20 23:59:59,301.4280090332031
2017-08-21 23:59:59,347.04901123046875
2017-08-22 23:59:59,327.3609924316406
2017-08-23 23:59:59,324.2099914550781
2017-08-24 23:59:59,327.9599914550781
2017-08-25 23:59:59,336.39801025390625
2017-08-26 23:59:59,334.9849853515625
2017-08-27 23:59:59,347.89300537109375
2017-08-28 23:59:59,352.0539855957031
2017-08-29 23:59:59,373.76300048828125
2017-08-30 23:59:59,388.74798583984375
2017-08-31 23:59:59,386.1390075683594
2017-09-01 23:59:59,390.04400634765625
2017-09-02 23:59:59,389.3529968261719
2017-09-03 23:59:59,366.48699951171875
2017-09-04 23:59:59,347.13299560546875
2017-09-05 23:59:59,318.5719909667969
2017-09-06 23:59:59,334.6579895019531
2017-09-07 23:59:59,333.5190124511719
2017-09-08 23:59:59,329.635986328125
2017-09-09 23:59:59,299.8909912109375
2017-09-10 23:59:59,294.7640075683594
2017-09-11 23:59:59,300.68798828125
2017-09-12 23:59:59,311.19500732421875
2017-09-13 23:59:59,291.12200927734375
2017-09-14 23:59:59,280.8399963378906
2017-09-15 23:59:59,258.6549987792969
2017-09-16 23:59:59,262.5929870605469
2017-09-17 23:59:59,256.9960021972656
2017-09-18 23:59:59,293.49700927734375
2017-09-19 23:59:59,295.76800537109375
2017-09-20 23:59:59,290.885986328125
2017-09-21 23:59:59,286.6099853515625
2017-09-22 23:59:59,270.5400085449219
2017-09-23 23:59:59,286.1679992675781
2017-09-24 23:59:59,292.947998046875
2017-09-25 23:59:59,293.5150146484375
2017-09-26 23:59:59,293.75
2017-09-27 23:59:59,308.0150146484375
2017-09-28 23:59:59,307.197998046875
2017-09-29 23:59:59,299.92401123046875
2017-09-30 23:59:59,303.9639892578125
2017-10-01 23:59:59,303.1929931640625
2017-10-02 23:59:59,302.9200134277344
2017-10-03 23:59:59,300.1109924316406
2017-10-04 23:59:59,299.3940124511719
2017-10-05 23:59:59,298.0409851074219
2017-10-06 23:59:59,308.8399963378906
2017-10-07 23:59:59,313.1300048828125
2017-10-08 23:59:59,312.5419921875
2017-10-09 23:59:59,309.31298828125
2017-10-10 23:59:59,306.15399169921875
2017-10-11 23:59:59,304.3900146484375
2017-10-12 23:59:59,309.1510009765625
2017-10-13 23:59:59,348.59600830078125
2017-10-14 23:59:59,347.9750061035156
2017-10-15 23:59:59,342.7170104980469
2017-10-16 23:59:59,349.3450012207031
2017-10-17 23:59:59,333.4840087890625
2017-10-18 23:59:59,317.2359924316406
2017-10-19 23:59:59,316.7139892578125
2017-10-20 23:59:59,311.43798828125
2017-10-21 23:59:59,303.92999267578125
2017-10-22 23:59:59,305.50201416015625
2017-10-23 23:59:59,295.74798583984375
2017-10-24 23:59:59,311.9580078125
2017-10-25 23:59:59,301.8489990234375
2017-10-26 23:59:59,301.0660095214844
2017-10-27 23:59:59,299.2560119628906
2017-10-28 23:59:59,300.35699462890625
2017-10-29 23:59:59,313.7550048828125
2017-10-30 23:59:59,310.4960021972656
2017-10-31 23:59:59,310.5480041503906
2017-11-01 23:59:59,306.4010009765625
2017-11-02 23:59:59,293.9070129394531
2017-11-03 23:59:59,308.31298828125
2017-11-04 23:59:59,305.4809875488281
2017-11-05 23:59:59,301.3710021972656
2017-11-06 23:59:59,305.4150085449219
2017-11-07 23:59:59,304.8420104980469
2017-11-08 23:59:59,318.7019958496094
2017-11-09 23:59:59,329.4519958496094
2017-11-10 23:59:59,324.7179870605469
2017-11-11 23:59:59,319.4530029296875
2017-11-12 23:59:59,319.15301513671875
2017-11-13 23:59:59,328.4150085449219
2017-11-14 23:59:59,340.177001953125
2017-11-15 23:59:59,340.9119873046875
2017-11-16 23:59:59,336.15899658203125
2017-11-17 23:59:59,334.9639892578125
2017-11-18 23:59:59,349.6159973144531
2017-11-19 23:59:59,371.2909851074219
2017-11-20 23:59:59,372.1369934082031
2017-11-21 23:59:59,372.4700012207031
2017-11-22 23:59:59,381.4200134277344
2017-11-23 23:59:59,425.5480041503906
2017-11-24 23:59:59,480.9729919433594
2017-11-25 23:59:59,485.1919860839844
2017-11-26 23:59:59,472.7229919433594
2017-11-27 23:59:59,493.4049987792969
2017-11-28 23:59:59,482.4800109863281
2017-11-29 23:59:59,522.3070068359375
2017-11-30 23:59:59,465.49700927734375
2017-12-01 23:59:59,472.6090087890625
2017-12-02 23:59:59,476.239013671875
2017-12-03 23:59:59,482.8139953613281
2017-12-04 23:59:59,474.7770080566406
2017-12-05 23:59:59,473.5580139160156
2017-12-06 23:59:59,462.7080078125
2017-12-07 23:59:59,441.3970031738281
2017-12-08 23:59:59,466.06201171875
2017-12-09 23:59:59,504.1470031738281
2017-12-10 23:59:59,472.78900146484375
2017-12-11 23:59:59,516.968994140625
2017-12-12 23:59:59,657.3179931640625
